x	y	z	contour type	slice	weight	time frame
270.0	141.0	67.0	SAX_LV_ENDOCARDIAL	10	500	0
255.0	161.0	70.0	SAX_LV_ENDOCARDIAL	10	500	0
302.0	183.0	100.0	SAX_LV_ENDOCARDIAL	10	500	0
274.0	156.0	111.0	SAX_LV_ENDOCARDIAL	10	500	0
257.0	175.0	111.0	SAX_LV_ENDOCARDIAL	10	500	0
250.0	196.0	109.0	SAX_LV_ENDOCARDIAL	10	500	0
283.0	204.0	104.0	SAX_LV_ENDOCARDIAL	10	500	0
245.0	165.0	77.0	SAX_LV_ENDOCARDIAL	10	500	0
263.0	163.0	58.0	SAX_LV_ENDOCARDIAL	10	500	0
263.0	205.0	103.0	SAX_LV_ENDOCARDIAL	10	500	0
310.0	164.0	81.0	SAX_LV_ENDOCARDIAL	10	500	0
249.0	207.0	101.0	SAX_LV_ENDOCARDIAL	10	500	0
240.0	195.0	52.0	SAX_LV_ENDOCARDIAL	10	500	0
241.0	180.0	55.0	SAX_LV_ENDOCARDIAL	10	500	0
241.0	179.0	111.0	SAX_LV_ENDOCARDIAL	10	500	0
245.0	175.0	111.0	SAX_LV_ENDOCARDIAL	10	500	0
302.0	189.0	73.0	SAX_LV_ENDOCARDIAL	10	500	0
248.0	162.0	89.0	SAX_LV_ENDOCARDIAL	10	500	0
244.0	200.0	53.0	SAX_LV_ENDOCARDIAL	10	500	0
242.0	166.0	86.0	SAX_LV_ENDOCARDIAL	10	500	0
300.0	180.0	108.0	SAX_LV_ENDOCARDIAL	10	500	0
273.0	215.0	91.0	SAX_LV_ENDOCARDIAL	10	500	0
259.0	176.0	53.0	SAX_LV_ENDOCARDIAL	10	500	0
303.0	186.0	81.0	SAX_LV_ENDOCARDIAL	10	500	0
271.0	173.0	116.0	SAX_LV_ENDOCARDIAL	10	500	0
284.0	142.0	101.0	SAX_LV_ENDOCARDIAL	10	500	0
283.0	138.0	98.0	SAX_LV_ENDOCARDIAL	10	500	0
254.0	199.0	108.0	SAX_LV_ENDOCARDIAL	10	500	0
267.0	183.0	53.0	SAX_LV_ENDOCARDIAL	10	500	0
261.0	152.0	75.0	SAX_LV_ENDOCARDIAL	10	500	0
283.0	193.0	57.0	SAX_LV_ENDOCARDIAL	10	500	0
300.0	141.0	92.0	SAX_LV_ENDOCARDIAL	10	500	0
244.0	166.0	97.0	SAX_LV_ENDOCARDIAL	10	500	0
283.0	201.0	107.0	SAX_LV_ENDOCARDIAL	10	500	0
312.0	141.0	70.0	SAX_LV_ENDOCARDIAL	10	500	0
